Url,BathroomCount,BedroomCount,ConstructionYear,District,FloodingZone,Furnished,Garden,GardenArea,Kitchen,LivingArea,MonthlyCharges,NumberOfFacades,PEB,PostalCode,Price,PropertyId,Province,Region,RoomCount,ShowerCount,StateOfBuilding,SubtypeOfProperty,SurfaceOfPlot,SwimmingPool,Terrace,ToiletCount,TypeOfProperty,TypeOfSale
https://www.immoweb.be/en/classified/apartment/for-sale/mortsel/2640/10943709,2.0,3,1960.0,1.0,8.0,0.0,0.0,0.0,2.0,104.0,0.0,3.0,13.0,2640,340000,10943709,5,0,0.0,1.0,4.0,0,0.0,0.0,0.0,2.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943220,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,172.0,0.0,0.0,14.0,8620,343114,10943220,0,0,0.0,1.0,3.0,11,162.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943221,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,162.0,0.0,0.0,14.0,8620,369115,10943221,0,0,0.0,1.0,3.0,11,175.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943217,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,163.0,0.0,0.0,14.0,8620,345614,10943217,0,0,0.0,1.0,3.0,11,174.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/aywaille/4920/10943177,3.0,7,1900.0,18.0,8.0,0.0,0.0,0.0,4.0,354.0,0.0,2.0,11.0,4920,479000,10943177,9,1,45.0,0.0,3.0,0,0.0,0.0,1.0,6.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943216,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,168.0,0.0,0.0,14.0,8620,382942,10943216,0,0,0.0,1.0,3.0,11,248.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943218,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,165.0,0.0,0.0,14.0,8620,344614,10943218,0,0,0.0,1.0,3.0,11,162.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/nieuwpoort/8620/10943219,1.0,3,2023.0,38.0,8.0,0.0,0.0,0.0,4.0,160.0,0.0,0.0,14.0,8620,342889,10943219,0,0,0.0,1.0,3.0,11,188.0,0.0,0.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/10942764,1.0,3,1968.0,38.0,8.0,0.0,0.0,0.0,4.0,251.0,0.0,4.0,11.0,8670,555000,10942764,0,0,0.0,1.0,5.0,23,430.0,0.0,1.0,2.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/braine-le-comte/7090/10942732,3.0,8,0.0,31.0,8.0,0.0,0.0,0.0,2.0,583.0,0.0,2.0,11.0,7090,560000,10942732,1,1,0.0,0.0,3.0,16,320.0,0.0,1.0,4.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-pierre/1150/10942612,2.0,3,1999.0,6.0,8.0,0.0,0.0,0.0,6.0,132.0,0.0,3.0,10.0,1150,535000,10942612,3,2,0.0,0.0,5.0,0,0.0,0.0,1.0,2.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10942362,2.0,3,1961.0,38.0,8.0,0.0,0.0,0.0,4.0,82.0,0.0,0.0,13.0,8620,699000,10942362,0,0,10.0,0.0,4.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/apartment/for-sale/landen/3400/10941861,1.0,2,0.0,17.0,8.0,0.0,0.0,0.0,4.0,70.0,0.0,2.0,13.0,3400,148000,10941861,6,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/bever/1547/10941799,1.0,5,1874.0,13.0,8.0,0.0,0.0,0.0,4.0,297.0,0.0,4.0,3.0,1547,410000,10941799,6,0,0.0,0.0,3.0,11,918.0,0.0,1.0,0.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/herne/1540/10941798,1.0,5,1874.0,13.0,8.0,0.0,0.0,0.0,4.0,297.0,0.0,4.0,3.0,1540,410000,10941798,6,0,0.0,0.0,3.0,11,918.0,0.0,1.0,0.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/edingen/7850/10941801,1.0,5,1874.0,31.0,8.0,0.0,0.0,0.0,4.0,297.0,0.0,4.0,3.0,7850,410000,10941801,1,1,0.0,0.0,3.0,11,918.0,0.0,1.0,0.0,1,0
https://www.immoweb.be/en/classified/apartment/for-sale/marcinelle/6001/10940985,1.0,3,1968.0,7.0,8.0,0.0,0.0,0.0,4.0,95.0,0.0,2.0,11.0,6001,100000,10940985,1,1,0.0,0.0,3.0,0,0.0,0.0,0.0,1.0,2,0
https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/10940890,1.0,4,1957.0,6.0,8.0,0.0,1.0,5235.0,2.0,219.0,0.0,4.0,0.0,1180,1800000,10940890,3,2,0.0,1.0,1.0,11,5439.0,0.0,1.0,0.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1190/10940528,6.0,6,1964.0,6.0,8.0,0.0,1.0,3000.0,6.0,1100.0,0.0,4.0,7.0,1190,5950000,10940528,3,2,0.0,3.0,5.0,23,4895.0,1.0,1.0,10.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/10940526,18.0,19,1874.0,4.0,8.0,1.0,1.0,28870.0,6.0,1560.0,0.0,4.0,10.0,6600,1750000,10940526,10,1,0.0,18.0,3.0,3,28870.0,0.0,1.0,20.0,1,0
https://www.immoweb.be/en/classified/house/for-sale/fauvillers/6637/10940525,18.0,19,1874.0,4.0,8.0,1.0,1.0,28870.0,6.0,1560.0,0.0,4.0,10.0,6637,1750000,10940525,10,1,0.0,18.0,3.0,11,28870.0,0.0,1.0,20.0,1,0
